moefSNo,state,protectedAreaName,protectedAreaType,notificationStatus,notificationDate,notificationSummary,notificationPdfLink,maps,notificationUploadDate,orderNumber,wikidataId,wikidataLabel,partOf,image,iucnCategory,locatedInAdminTerritorialEntity,coordinateLatitude,coordinateLongitude,significantPlace,heritageDesignation,area,officialWebsite,pageBanner,commonsCategory,osmRelationIds,enwikiUrl,matchConfidence
131,Karnataka,Ranebennur Blackbuck Sanctuary,Wildlife Sanctuary,Final,2017-07-06,"131. S.O. 2147 (E) [06.07.2017] Final Notification Declaring Eco Sensitive Zone around Ranebennur Blackbuck Sanctuary(1.57 MB), Karnataka",https://moef.gov.in/uploads/2017/06/Ranebennur%20Blackbuck%20Sanctuary%2C%20Karnataka.pdf,[],11/08/2017,S.O. 2147 (E),,,,,,,,,,,,,,,,,none
163,Karnataka,Rangayyadurga Four Horned Antelope Wildlife Sanctuary Sanctuary,Wildlife Sanctuary,Draft,2016-01-07,163. SO 71(E)[07.01.2016] Draft notification declaring Eco-sensitive Zone around the Rangayyadurga Four Horned Antelope Wildlife Sanctuary Sanctuary(685.79 KB) in the state of Karnataka,https://moef.gov.in/uploads/2017/06/SO%2071(E)%5B07.01.2016%5D%20Draft%20notification%20declaring%20Eco-sensitive%20Zone%20around%20the%20Rangayyadurga%20Four%20Horned%20Antelope%20Wildlife%20Sanctuary%20Sanctuary%20%20in%20the%20state%20of%20Karnataka..pdf,[],13/01/2016,SO 71(E),,,,,,,,,,,,,,,,,none
132,Karnataka,Rangayyanadurga Four Horned Antelope Wildlife Sanctuary,Wildlife Sanctuary,Final,2017-06-07,"132. S.O. 1811 (E) [07.06.2017] Final Notification declaring Eco Sensitive Zone around Rangayyanadurga Four Horned Antelope Wildlife Sanctuary(2.27 MB), Karnataka S.O. No. 4421(E) [11.10.2023] Amendment in the Final Notification of Eco-sensitive Zone around Rangayyanadurga Four Horned Antelope Wildlife Sanctuary, in the state of Karnataka (1,159 KB), Karnataka",https://moef.gov.in/uploads/2017/06/Rangayyanadurga%20Four%20Horned%20Antelope%20Wildlife%20Sanctuary%2C%20Karnataka.pdf,[],12/06/2017 & 25/11/2023,S.O. 1811 (E),,,,,,,,,,,,,,,,,none
164,Karnataka,Kudremukh National Park,National Park,Draft,2016-01-07,164. SO 63(E)[07.01.2016] Draft notification declaring Eco-sensitive Zone around the Kudremukh National Park (735.77 KB)in the state of Karnataka,https://moef.gov.in/uploads/2017/06/SO%2063(E)%5B07.01.2016%5D%20Draft%20notification%20declaring%20Eco-sensitive%20Zone%20around%20the%20Kudremukh%20National%20Park%20in%20the%20state%20of%20Karnataka.pdf,[],30/12/2015,SO 63(E),Q123439915,Kudremukh National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Kuduremukha-NationalPark%20Grassland.jpg,IUCN category II: National Park,Karnataka,13.25,75.2,,,600.32,,,Kudremukh National Park,9482054,https://en.wikipedia.org/wiki/Kudremukh_National_Park,exact
133,Karnataka,Kudremukh National Park,National Park,Final,2020-07-02,"133. S.O. 2188(E) [ 02.07.2020] Final Notification declaring Eco Sensitive Zone around Kudremukh National Park(223 KB), Karnataka.",https://moef.gov.in/uploads/2019/10/kudermukh.pdf,[],06/07/2020,S.O. 2188(E),Q123439915,Kudremukh National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Kuduremukha-NationalPark%20Grassland.jpg,IUCN category II: National Park,Karnataka,13.25,75.2,,,600.32,,,Kudremukh National Park,9482054,https://en.wikipedia.org/wiki/Kudremukh_National_Park,exact
164,Karnataka,Kudermukh National Park,National Park,Draft,2019-10-25,"164. S.O. 3859(E) [25.10.2019] Draft Notification declaring Eco Sensitive Zone around Kudermukh National Park(365 KB), Karnataka Re-Notification New.",https://moef.gov.in/uploads/2019/10/kudernukh.pdf,[],30/10/2019,S.O. 3859(E),,,,,,,,,,,,,,,,,none
165,Karnataka,Bhimgad Wildlife Sanctuary,Wildlife Sanctuary,Draft,2023-08-09,"165. SO 3565(E)[09.08.2023] Draft notification declaring Eco-sensitive Zone around the Bhimgad Wildlife Sanctuary(2,268 KB) in the state of Karnataka",https://moef.gov.in/uploads/2023/11/SO3565-09082023-Notification.pdf,[],09/08/2023,SO 3565(E),,,,,,,,,,,,,,,,,none
166,Karnataka,Gudekote Sloth Bear Sanctuary,Wildlife Sanctuary,Draft,2023-03-14,"166. S.O. 1226(E) [14.03.2023] Draft Notification declaring Eco sensitive Zone around Gudekote Sloth Bear Sanctuary(5,809 KB), Karnataka",https://moef.gov.in/uploads/2023/11/SO1226-14032023.pdf,[],14/03/2023,S.O. 1226(E),,,,,,,,,,,,,,,,,none
134,Karnataka,Gudekote Sloth Bear Sanctuary,Wildlife Sanctuary,Final,2017-10-27,"134. S.O. 4747 (E) [27.10.2017] Final Notification declaring Eco Sensitive Zone around Gudekote Sloth Bear Sanctuary,(4.04 MB) Karnataka",https://moef.gov.in/uploads/2023/11/SO4747(E)-gudekote-final.pdf,[],25/11/2023,S.O. 4747 (E),,,,,,,,,,,,,,,,,none
167,Karnataka,Gudavi Bird Sanctuary,Bird Sanctuary,Draft,2015-01-07,"167. S.O. 68(E) [07.01.2015] Draft Notification declaring Eco sensitive Zone around Gudavi Bird Sanctuary(690.78 KB), Karnataka",https://moef.gov.in/uploads/2017/06/S.O.%2068(E)%20%5B07.01.2015%5D%20Draft%20Notification%20declaring%20Eco%20sensitive%20Zone%20around%20Gudavi%20Bird%20Sanctuary%2C%20Karnataka.pdf,[],24/02/2016,S.O. 68(E),Q5614543,Gudavi Bird Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/GDV1.jpg,IUCN category IV: Habitat/Species Management Area,Shimoga district,14.439722222,75.0125,,,,,,Gudavi Bird Sanctuary,,https://en.wikipedia.org/wiki/Gudavi_Bird_Sanctuary,exact
135,Karnataka,Gudavi Bird Sanctuary,Bird Sanctuary,Final,2017-07-06,"135. S.O. 2148 (E) [06.07.2017] Final Notification Declaring Eco Sensitive Zone around Gudavi Bird Sanctuary(2.04 MB), Karnataka S .O. No. 5494(E) [19.12.2024] Amendment in the Final Notification of Eco-sensitive Zone around Gudavi Bird Sanctuary(11.76 MB), Karnataka",https://moef.gov.in/uploads/2017/06/Gudavi%20Bird%20Sanctuary%2C%20Karnataka.pdf,[],11/08/2017,S.O. 2148 (E),Q5614543,Gudavi Bird Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/GDV1.jpg,IUCN category IV: Habitat/Species Management Area,Shimoga district,14.439722222,75.0125,,,,,,Gudavi Bird Sanctuary,,https://en.wikipedia.org/wiki/Gudavi_Bird_Sanctuary,exact
168,Karnataka,Pushpagiri Wildlife Sanctuary,Wildlife Sanctuary,Draft,2016-01-13,"168. S.O. 139(E) [13.01.2016] Draft Notification declaring Eco sensitive Zone around Pushpagiri Wildlife Sanctuary(533.3 KB), Karnataka",https://moef.gov.in/uploads/2017/06/S.O.%20139(E)%20%5B13.01.2016%5D%20Draft%20Notification%20declaring%20Eco%20sensitive%20Zone%20around%20Pushpagiri%20Wildlife%20Sanctuary%2C%20Karnataka.pdf,[],25/02/2016,S.O. 139(E),Q7261843,Pushpagiri Wildlife Sanctuary,Western Ghats; Karnataka,http://commons.wikimedia.org/wiki/Special:FilePath/Its%20not%20Day%20time%20%40Pushpagiri%20Wildlife%20Sanctuary.jpg,IUCN category IV: Habitat/Species Management Area,Karnataka,12.58333333,75.66666667,Somwarpet,part of UNESCO World Heritage Site,102.92,,http://commons.wikimedia.org/wiki/Special:FilePath/Kumaraparvata%20Banner.jpg,Pushpagiri Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Pushpagiri_Wildlife_Sanctuary,exact
136,Karnataka,Pushpagiri Wildlife Sanctuary,Wildlife Sanctuary,Final,2017-06-28,"136. S.O. 2020 (E) [28.06.2017] Final Notification declaring Eco Sensitive Zone around Pushpagiri Wildlife Sanctuary(2.04 MB), Karnataka",https://moef.gov.in/uploads/2017/06/Pushpagiri%20Wildlife%20Sanctuary%2C%20Karnataka.pdf,[],03/07/2017,S.O. 2020 (E),Q7261843,Pushpagiri Wildlife Sanctuary,Western Ghats; Karnataka,http://commons.wikimedia.org/wiki/Special:FilePath/Its%20not%20Day%20time%20%40Pushpagiri%20Wildlife%20Sanctuary.jpg,IUCN category IV: Habitat/Species Management Area,Karnataka,12.58333333,75.66666667,Somwarpet,part of UNESCO World Heritage Site,102.92,,http://commons.wikimedia.org/wiki/Special:FilePath/Kumaraparvata%20Banner.jpg,Pushpagiri Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Pushpagiri_Wildlife_Sanctuary,exact
169,Karnataka,Someshwara Wildlife Sanctuary,Wildlife Sanctuary,Draft,2016-01-13,"169. S.O. 140(E) [13.01.2016] Draft Notification declaring Eco sensitive Zone around Someshwara Wildlife Sanctuary(939.39 KB), Karnataka",https://moef.gov.in/uploads/2017/06/S.O.%20140(E)%20%5B13.01.2016%5D%20Draft%20Notification%20declaring%20Eco%20sensitive%20Zone%20around%20Someshwara%20Wildlife%20Sanctuary%2C%20Karnataka.pdf,[],25/02/2016,S.O. 140(E),Q7559997,Someshwara Wildlife Sanctuary,Western Ghats,,IUCN category IV: Habitat/Species Management Area,,13.48333333,74.83333333,,part of UNESCO World Heritage Site,8840,,,Someshwara Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Someshwara_Wildlife_Sanctuary,exact
137,Karnataka,Someshwara Wildlife,Wildlife Sanctuary,Final,2020-08-28,"137. S.O. 2942 (E) [ 28.08.2020] Final Notification declaring Eco Sensitive Zone around Someshwara Wildlife Sanctuary(235 KB), Karnataka",https://moef.gov.in/uploads/2019/02/someshwara.pdf,[],31/08/2020,S.O. 2942 (E),,,,,,,,,,,,,,,,,none
169,Karnataka,Someshwara Wildlife,Wildlife Sanctuary,Draft,2019-10-25,"169. S.O. 3858(E) [25.10.2019] Draft Notification declaring Eco Sensitive Zone around Someshwara Wildlife Sanctuary (222 KB), Karnataka. Re-Notification New.",https://moef.gov.in/uploads/2019/10/someshwara.pdf,[],01/11/2019,S.O. 3858(E),,,,,,,,,,,,,,,,,none
170,Karnataka,Cauvery Wildlife Sanctuary,Wildlife Sanctuary,Draft,2016-03-03,"170. S.O.656(E) [03.03.2016] Draft Notification declaring Eco sensitive Zone around Cauvery Wildlife Sanctuary(5.21 MB), Karnataka",https://moef.gov.in/uploads/2017/06/Cauvery%20Wildlife%20Sanctuary%2C%20Karnataka.pdf,[],14/03/2016,S.O.656(E),Q5054715,Cauvery Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Cauvery%20Wildlife%20Sanctuary%206.JPG,IUCN category IV: Habitat/Species Management Area,Karnataka,12.17,77.543,Mandya,,1027.53,,,Cauvery Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Cauvery_Wildlife_Sanctuary,exact
138,Karnataka,Cauvery Wildlife Sanctuary,Wildlife Sanctuary,Final,2017-08-22,"138. S.O. 2733 [22.08.2017] Final Notification declaring Eco Sensitive Zone around Cauvery Wildlife Sanctuary(2.65 MB), Karnataka",https://moef.gov.in/uploads/2017/06/Cauvery%20Wildlife%20Sanctuary%20Karnataka%20Final.pdf,[],11/09/2017,S.O. 2733,Q5054715,Cauvery Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Cauvery%20Wildlife%20Sanctuary%206.JPG,IUCN category IV: Habitat/Species Management Area,Karnataka,12.17,77.543,Mandya,,1027.53,,,Cauvery Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Cauvery_Wildlife_Sanctuary,exact
171,Karnataka,Malai Mahadeshwara Wildlife Sanctuary,Wildlife Sanctuary,Draft,2016-03-31,"171. S.O.1274(E) [31.03.2016] Draft Notification declaring Eco sensitive Zone around Malai Mahadeshwara Wildlife Sanctuary(5 MB), Karnataka",https://moef.gov.in/uploads/2017/06/Malai%20Mahadeshwara%20Wildlife%20Sanctuary%2C%20Karnataka.pdf,[],11/04/2016,S.O.1274(E),Q24948250,Malai Mahadeshwara Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/A%20view%20of%20M%20M%20Hills%20Wildlife%20Sanctuary.jpg,IUCN category IV: Habitat/Species Management Area,Karnataka,11.962,77.442,,,,,,,,https://en.wikipedia.org/wiki/Male_Mahadeshwara_Wildlife_Sanctuary,exact
139,Karnataka,Malai Mahadeshwara Wildlife,Wildlife Sanctuary,Final,2017-09-14,"139. S.O. 3031 (E) [14.09.2017] Final Notification declaring Eco Sensitive Zone around Malai Mahadeshwara Wildlife(2.53 MB) Sanctuary, Karnataka",https://moef.gov.in/uploads/2017/06/Malai%20Mahadeshwara%20Wildlife%20Sanctuary%2C%20Karnataka%20Final.pdf,[],19/09/2017,S.O. 3031 (E),Q24948250,Malai Mahadeshwara Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/A%20view%20of%20M%20M%20Hills%20Wildlife%20Sanctuary.jpg,IUCN category IV: Habitat/Species Management Area,Karnataka,11.962,77.442,,,,,,,,https://en.wikipedia.org/wiki/Male_Mahadeshwara_Wildlife_Sanctuary,fuzzy
172,Karnataka,Melukote Wildlife Sanctuary,Wildlife Sanctuary,Draft,2016-03-31,"172. S.O. 1275(E) [31.03.2016] Draft Notification declaring Eco sensitive Zone around Melukote Wildlife Sanctuary(579.58 KB), Karnataka",https://moef.gov.in/uploads/2017/06/Melukote%20Wildlife%20Sanctuary%20%2C%20Karnataka.pdf,[],11/04/2016,S.O. 1275(E),,,,,,,,,,,,,,,,,none
140,Karnataka,Melukote Wildlife Sanctuary,Wildlife Sanctuary,Final,2017-09-21,"140. S.O. 3084 (E) [21.09.2017] Final Notification declaring Eco Sensitive Zone around Melukote Wildlife Sanctuary(2.23 MB), Karnataka S .O. No. 115(E) [07.01.2025] Amendment in the Final Notification of Eco-sensitive Zone around Melukote Wildlife Sanctuary(1.74 MB), Karnataka",https://moef.gov.in/uploads/2017/06/Melukote%20Wildlife%20Sanctuary%2C%20Karnataka%20Final.pdf,[],14/01/2025,S.O. 3084 (E),,,,,,,,,,,,,,,,,none
173,Karnataka,Talacauvery Wildlife Sanctuary,Wildlife Sanctuary,Draft,2016-01-15,"173. S.O.142(E) [15.01.2016] Draft Notification declaring Eco Sensitive Zone around Talacauvery Wildlife Sanctuary(594.25 KB), Karnataka",https://moef.gov.in/uploads/2017/06/Talacauvery%20WLS%2C%20Karnataka.pdf,[],25/02/2016,S.O.142(E),Q5054715,Cauvery Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Cauvery%20Wildlife%20Sanctuary%206.JPG,IUCN category IV: Habitat/Species Management Area,Karnataka,12.17,77.543,Mandya,,1027.53,,,Cauvery Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Cauvery_Wildlife_Sanctuary,fuzzy
141,Karnataka,Talacauvery Wildlife Sanctuary,Wildlife Sanctuary,Final,2017-05-15,"141. S.O. 1564 (E) [15.05.2017] Final Notification declaring Eco Sensitive Zone around Talacauvery Wildlife Sanctuary(1.93 MB), Karnataka. S .O. No. 4343(E) [07.10.2024] Amendment in the Final Notification of Eco-sensitive Zone around Talacauvery Wildlife Sanctuary(1.78 MB), Karnataka.",https://moef.gov.in/uploads/2017/06/talacauvery%20wildlife%20sanctuary%2C%20Karnataka.pdf,[],11/10/2024,S.O. 1564 (E),Q5054715,Cauvery Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Cauvery%20Wildlife%20Sanctuary%206.JPG,IUCN category IV: Habitat/Species Management Area,Karnataka,12.17,77.543,Mandya,,1027.53,,,Cauvery Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Cauvery_Wildlife_Sanctuary,fuzzy
174,Karnataka,Ranganathittu Bird Sanctuary,Bird Sanctuary,Draft,2016-06-03,"174. S.O. 1971(E) [03.06.2016] Draft Notification declaring Eco Sensitive Zone around Ranganathittu Bird Sanctuary(637.32 KB), Karnataka",https://moef.gov.in/uploads/2017/06/Ranganathittu%20Bird%20Sanctuary%20%2C%20Karnataka.pdf,[],13/06/2016,S.O. 1971(E),,,,,,,,,,,,,,,,,none
142,Karnataka,Ranganthittu Bird Sanctuary,Bird Sanctuary,Final,2017-11-10,"142. S.O. 3577(E) [10.11.2017] Final Notification declaring Eco Sensitive Zone around Ranganthittu Bird Sanctuary(2.36 MB), Karnataka.",https://moef.gov.in/uploads/2019/08/ranganittu.pdf,[],14/11/2017,S.O. 3577(E),Q3846171,Ranganthittu Bird Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Islands%20River%20Ranganathittu%20Srirangapatna%20Jan24%20A7C%2009120.jpg,IUCN category IV: Habitat/Species Management Area,Mandya district,12.4,76.65,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ranganathittu%20Bird%20Sanctuary%20banner.jpg,Ranganathittu Bird Sanctuary,,https://en.wikipedia.org/wiki/Ranganathittu_Bird_Sanctuary,exact
175,Karnataka,Sree Ramadevarabetta Vulture Sanctuary,Wildlife Sanctuary,Draft,2016-06-03,"175. S.O. 1970(E) [03.06.2016] Draft Notification declaring Eco Sensitive Zone around Sree Ramadevarabetta Vulture Sanctuary(1.17 MB), Karnataka",https://moef.gov.in/uploads/2019/10/Sree-Ramadevarabetta-Vulture-Sanctuary-Karnataka.pdf,[],13/06/2016,S.O. 1970(E),Q112252443,Ramadevarabetta Vulture Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Karnataka,12.7531984,77.3013674,,,,,,,,https://en.wikipedia.org/wiki/Ramadevarabetta_Vulture_Sanctuary,fuzzy
143,Karnataka,Ramadevarabetta Vulture Sanctuary,Wildlife Sanctuary,Final,2017-09-12,"143. S.O. 2993 (E) [12.09.2017] Final Notification declaring Eco Sensitive Zone around Ramadevarabetta Vulture Sanctuary,(2.92 MB) Karnataka",https://moef.gov.in/uploads/2017/06/Ramadevarabetta%20Vulture%20Sanctuary%2C%20Karnataka%20Final.pdf,[],14/09/2017,S.O. 2993 (E),Q112252443,Ramadevarabetta Vulture Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Karnataka,12.7531984,77.3013674,,,,,,,,https://en.wikipedia.org/wiki/Ramadevarabetta_Vulture_Sanctuary,exact
176,Karnataka,Bannerghatta National Park,National Park,Draft,2016-06-15,"176. S.O. 2116(E) [15.06.2016] Draft Notification declaring Eco Sensitive Zone around Bannerghatta National Park(1.87 MB), Karnataka",https://moef.gov.in/uploads/2017/06/Bannerghatta%20National%20Park%2C%20Karnataka.pdf,[],17/06/2016,S.O. 2116(E),Q2588520,Bannerghatta National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/White%20tiger%20bangalore.jpg,IUCN category II: National Park,Bengaluru North district,12.80083333,77.57555556,Bengaluru,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bannerghatta%20Park%20Banner.jpg,Bannerghatta National Park,,https://en.wikipedia.org/wiki/Bannerghatta_National_Park,exact
144,Karnataka,Bannerghatta National Park,National Park,Final,2020-03-11,"144. S.O. 1036(E) [11.03.2020] Final Notification declaring Eco Sensitive Zone around Bannerghatta National Park (225 KB), Karnataka",https://moef.gov.in/uploads/2019/10/bannerghata.pdf,[],13/03/2020,S.O. 1036(E),Q2588520,Bannerghatta National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/White%20tiger%20bangalore.jpg,IUCN category II: National Park,Bengaluru North district,12.80083333,77.57555556,Bengaluru,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bannerghatta%20Park%20Banner.jpg,Bannerghatta National Park,,https://en.wikipedia.org/wiki/Bannerghatta_National_Park,exact
176,Karnataka,Bannerghatta National Park,National Park,Draft,2018-11-02,"176. S.O. 5639(E) [02.11.2018] Draft Notification declaring Eco Sensitive Zone around Banerghatta National Park(2.00 MB), Karnataka Re-notification New",https://moef.gov.in/uploads/2018/12/bannerghatta.pdf,[],05/11/2018,S.O. 5639(E),Q2588520,Bannerghatta National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/White%20tiger%20bangalore.jpg,IUCN category II: National Park,Bengaluru North district,12.80083333,77.57555556,Bengaluru,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bannerghatta%20Park%20Banner.jpg,Bannerghatta National Park,,https://en.wikipedia.org/wiki/Bannerghatta_National_Park,exact
177,Karnataka,Bhadra Wildlife Sanctuary,Wildlife Sanctuary,Draft,2016-08-05,"177. S.O. 2635(E) [05.08.2016] Draft notification declaring Eco Sensitive Zone around Bhadra Wildlife Sanctuary(1016.96 KB), Karnataka",https://moef.gov.in/uploads/2017/06/Bhadra%20Wildlife%20Sanctuary%2C%20Karnataka.pdf,[],22/08/2016,S.O. 2635(E),Q4900541,Bhadra Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/2006-Tigers-and-Gaurs.jpg,,Chikkaballapura district,13.695477777,75.636813888,,,492.46,,,Bhadra Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Bhadra_Wildlife_Sanctuary,exact
177,Karnataka,Bhadra Tiger Reserve,Tiger Reserve,Draft,2020-06-15,"177. S.O. 1961(E) [15.06.2020] Draft Notification declaring Eco Sensitive Zone around Bhadra Tiger Reserve, Karnataka Re-Notification New.",https://moef.gov.in/uploads/2019/10/bhadra.pdf,[],24/06/2020,S.O. 1961(E),Q4900541,Bhadra Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/2006-Tigers-and-Gaurs.jpg,,Chikkaballapura district,13.695477777,75.636813888,,,492.46,,,Bhadra Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Bhadra_Wildlife_Sanctuary,exact
178,Karnataka,Biligirirangaswamy Temple Wildlife Sanctuary,Wildlife Sanctuary,Draft,2016-08-05,"178. S.O. 2631(E) [05.08.2016] Draft notification declaring Eco Sensitive Zone around Biligirirangaswamy Temple Wildlife Sanctuary(1.02 MB), Karnataka",https://moef.gov.in/uploads/2017/06/Biligirirangaswamy%20Temple%20Wildlife%20Sanctuary%2C%20Karnataka.pdf,[],22/08/2016,S.O. 2631(E),,,,,,,,,,,,,,,,,none
145,Karnataka,Billigirangana Swamy Tiger Reserve,Tiger Reserve,Final,2019-11-19,"145. S.O. 4152(E) [19.11.2019] Final Notification declaring Eco Sensitive Zone around Billigirangana Swamy Tiger Reserve(124 KB), Karnataka",https://moef.gov.in/uploads/2019/10/billingirangana.pdf,[],25/11/2019,S.O. 4152(E),,,,,,,,,,,,,,,,,none
178,Karnataka,Biligiriranganaswamy Tiger Reserve,Tiger Reserve,Draft,2018-09-19,"178. 4889(E) [19.09.2018] Draft Notification declaring Eco Sensitive Zone aroundBiligiriranganaswamy Tiger Reserve(1.00 MB), Karnataka Re-notification New",https://moef.gov.in/uploads/2019/10/biligiriswami.pdf,[],26/09/2018,,,,,,,,,,,,,,,,,,none
179,Karnataka,Chinchioli Wildlife Sanctuary,Wildlife Sanctuary,Draft,2016-08-05,"179. S.O. 2636(E) [05.08.2016] Draft notification declaring Eco Sensitive Zone around Chinchioli Wildlife Sanctuary(372.98 KB), Karnataka",https://moef.gov.in/uploads/2017/06/Chinchioli%20Wildlife%20Sanctuary%2C%20Karnataka.pdf,[],22/08/2016,S.O. 2636(E),,,,,,,,,,,,,,,,,none
146,Karnataka,Chinchioli Wildlife,Wildlife Sanctuary,Final,2019-08-09,"146. S.O. 2893(E) [09.08.2019]Final Notification declaring Eco Sensitive Zone around Chinchioli Wildlife Sanctuary(124 KB), Karnataka.",https://moef.gov.in/uploads/2019/08/chincholi-1.pdf,[],16/08/2019,S.O. 2893(E),,,,,,,,,,,,,,,,,none
179,Karnataka,"Chinchioli Sanctuary,",Wildlife Sanctuary,Draft,2018-10-04,"179. 5137(E) [04.10.2018] Draft Notification declaring Eco Sensitive Zone around Chinchioli Sanctuary,(3.00 MB), KarnatakaRe-notification New",https://moef.gov.in/uploads/2018/12/chincholi.pdf,[],12/10/2018,,,,,,,,,,,,,,,,,,none
147,Karnataka,Chincholi Wildlife Santuary,Wildlife Sanctuary,Final,2020-06-04,147. S.O. 1738(E) [04.06.2020] Final Amendment declaring Eco Sensitive Zone around Chincholi Wildlife Santuary(222 KB) Karnataka.,https://moef.gov.in/uploads/2019/10/chincholi-amendment.pdf,[],19/06/2020,S.O. 1738(E),,,,,,,,,,,,,,,,,none
180,Karnataka,Nugu Wildlife Sanctuary,Wildlife Sanctuary,Draft,2016-08-05,"180. S.O. 2627(E) [05.08.2016] Draft notification declaring Eco Sensitive Zone around Nugu Wildlife Sanctuary(1.82 MB), Karnataka",https://moef.gov.in/uploads/2017/06/Nugu%20Wildlife%20Sanctuary%2C%20Karnataka.pdf,[],22/08/2016,S.O. 2627(E),Q110078279,Nugu Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Karnataka,11.930555555,76.455555555,,,,,,,,https://en.wikipedia.org/wiki/Nugu_Wildlife_Sanctuary,exact
148,Karnataka,Nugu Wildlife Sanctuary,Wildlife Sanctuary,Final,2017-09-27,"148. S.O. 3132 (E) [27.09.2017] Final Notification declaring Eco Sensitive Zone around Nugu Wildlife Sanctuary, (2.66 MB)Karnataka S.O. No. 3039(E) [30.07.2024] Amendment in the Final Notification of Eco-sensitive Zone around Nugu Wildlife Sanctuary, in the state of Karnataka (1,070 KB), Karnataka",https://moef.gov.in/uploads/2017/06/Nugu%20Wildlife%20Sanctuary%2C%20Karnataka%2C%20Final.pdf,[],28/09/2017,S.O. 3132 (E),Q110078279,Nugu Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Karnataka,11.930555555,76.455555555,,,,,,,,https://en.wikipedia.org/wiki/Nugu_Wildlife_Sanctuary,exact
181,Karnataka,Dandeli Wildlife Sanctuary and Anshi National Park,National Park,Draft,2016-11-03,"181. S.O. 3369 (E) [03.11.2016]: Draft notification declaring Eco Sensitive Zone around Dandeli Wildlife Sanctuary and Anshi National Park(2.33 MB), Karnataka",https://moef.gov.in/uploads/2017/06/Dandeli%20Wildlife%20Sanctuary%20and%20Anshi%20NP%2C%20Karnataka_0.pdf,[],8/11/2016,S.O. 3369 (E),,,,,,,,,,,,,,,,,none
182,Karnataka,Nagarahole Tiger Reseve,Tiger Reserve,Draft,2017-07-25,"182. S.O. 2323 (E) [25.07.2017] Draft Notification Declaring Eco Sensitive Zone around Nagarahole Tiger Reseve(3.13 MB), Karnataka",https://moef.gov.in/uploads/2017/06/Nagarahole%20Tiger%20Reserve%2C%20Karnataka.pdf,[],31/07/2017,S.O. 2323 (E),,,,,,,,,,,,,,,,,none
183,Karnataka,Adichunchanagiri Peacock Sanctuary,Wildlife Sanctuary,Draft,2017-09-06,183. S.O. 2940 (E) [06.09.2017] Draft Notification Declaring Eco Sensitive Zone around Adichunchanagiri Peacock Sanctuary(1.98 MB) Karnataka,https://moef.gov.in/uploads/2019/10/Adichunchanagiri-Peacock-Sanctuary-Karnataka-Draft.pdf,[],12/09/2017,S.O. 2940 (E),Q135455927,Adichunchanagiri Peacock Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Karnataka,13.0197,76.7496,,,,,,,,https://en.wikipedia.org/wiki/Adichunchanagiri_Peacock_Wildlife_Sanctuary,exact
149,Karnataka,Adichunchanagri Peacock Sanctuary,Wildlife Sanctuary,Final,2020-09-07,149. S.O. 3032(E) [ 07.09.2020] Final Notification declaring Eco Sensitive Zone around Adichunchanagri Peacock Sanctuary(1.98 MB) Karnataka,https://moef.gov.in/uploads/2020/09/adinachunchunagiri.pdf,[],15/09/2020,S.O. 3032(E),,,,,,,,,,,,,,,,,none
